name,company,workarea,salary,requirements,company_type,company_size
数据分析师（南京）,北京明溪信息技术有限公司,南京,0.8-1万/月,['本科'],民营公司,
系统数据分析/支持高级工程师,阿特斯阳光电力集团有限公司,苏州,,['硕士'],外资（非欧美）,
数据分析员,东莞中检新能检测技术有限公司,东莞-松山湖区,4.5-8千/月,"['1年经验', '大专']",民营公司,少于50人
市场数据分析,晟碟半导体（上海）有限公司,上海,,['本科'],外资（欧美）,
数据分析高级助理（北京）,中国旅游集团中免股份有限公司,北京,,['本科'],国企,
4k+数据分析师 双休,西安海嵘汇金企业咨询管理有限公司,西安-未央区,5-8千/月,"['无需经验', '大专']",民营公司,50-150人
数据分析（策略/运营）,上海嘉银金融科技股份有限公司,上海,,['硕士'],民营公司,
数据分析师（广东广信通信服务有限公司）,中国通信服务股份有限公司,广州,,['本科'],国企,
数据分析（信息技术类）（雪中飞事业部）,波司登国际服饰（中国）有限公司,常熟,,['本科'],民营公司,
数据分析工程师（厦门）,建信金融科技有限责任公司,厦门,,['本科'],国企,500-1000人
数据分析实习生（上海）,北京神州祥龙投资管理有限公司,上海,,['本科'],外资（欧美）,
数据分析师,深圳市鑫贝帝科技有限公司,深圳,1-1.5万/月,"['3-4年经验', '本科']",民营公司,150-500人
运营数据分析助理,北京动向体育发展有限公司,北京,,['本科'],民营公司,
环境数据分析工程师,河南速创环保科技有限公司,郑州-高新区,4-6.5千/月,"['1年经验', '本科']",民营公司,50-150人
大数据分析师,江苏方寸图信息技术有限公司,南京-建邺区,1-2.5万/月,"['3-4年经验', '硕士']",民营公司,50-150人
金融研究/数据分析/交易员,北京盛业恒泰投资有限公司,北京-朝阳区,1.5-2万/月,"['1年经验', '本科']",合资,500-1000人
数据分析师助理,山西盛业盈汇企业管理咨询有限公司,太原,6-8千/月,"['在校生/应届生', '大专']",民营公司,50-150人
数据分析师,威海诚益汽车销售有限公司,济南,4-4.5千/月,"['2年经验', '大专']",民营公司,150-500人
Amazon平台数据分析专员,合肥拓图网络科技有限公司,合肥-蜀山区,3-7千/月,"['无需经验', '大专']",民营公司,50-150人
市场调研数据分析师（中级）,成都神鸟数据咨询有限公司,成都-锦江区,8-15万/年,"['无需经验', '本科']",国企,50-150人
阿里集团-飞猪-商业数据分析专家-杭州,阿里巴巴集团,杭州,,"['3-4年经验', '本科']",上市公司,10000人以上
数据分析岗,京东商城华东区域分公司,上海-嘉定区,6-8千/月,"['无需经验', '本科']",外资（欧美）,10000人以上
数据分析专员,良品铺子股份有限公司,上海-徐汇区,6-8千/月,"['3-4年经验', '本科']",上市公司,10000人以上
数据分析员（物流方向）,跨越速运集团有限公司,深圳,7-8千/月,"['2年经验', '大专']",民营公司,10000人以上
数据分析专员/主管（韩语）,现代重工（中国）投资有限公司,上海-浦东新区,10-18万/年,"['3-4年经验', '本科']",外资（非欧美）,1000-5000人
数据分析类(重庆主城),中国电信重庆公司,重庆,,['本科'],国企,
企业信息化类-IT运维与支撑-数据分析师（六盘水）,中国电信贵州公司,六盘水,,['本科'],国企,
AI数据分析师-AI研发中心,中国电信研究院,北京,,['硕士'],国企,
数据分析师,中国电信山东公司,东营,,['本科'],国企,
数据分析,中国电信新疆公司,巴音郭楞,,['本科'],国企,
资深数据分析师,字节跳动,北京,2-4万/月,"['5-7年经验', '本科']",民营公司,10000人以上
122493初级数据分析师（售后）,深圳市大疆创新科技有限公司,深圳-南山区,0.8-1.4万/月,"['无需经验', '本科']",民营公司,10000人以上
数据分析（供应链物流）,英迈（中国）投资有限公司,深圳-南山区,6-9千/月,"['3-4年经验', '大专']",外资（欧美）,1000-5000人
初级数据分析师,广州银汉科技有限公司,广州-天河区,0.7-1万/月,"['1年经验', '本科']",民营公司,500-1000人
BI数据分析岗,马应龙药业集团股份有限公司,武汉-洪山区,0.8-1.2万/月,"['3-4年经验', '本科']",上市公司,1000-5000人
审计中心数据分析经理,广东海大集团股份有限公司,广州,1.5-2.5万/月,"['5-7年经验', '本科']",上市公司,10000人以上
数据分析岗,中国平安人寿保险股份有限公司温州中心支公司,温州,4.5-6千/月,"['无需经验', '本科']",民营公司,1000-5000人
数据分析师,上海荣学网络科技有限公司,上海-浦东新区,1-1.2万/月,"['2年经验', '本科']",民营公司,50-150人
数据分析经理（成都大悦城）,中粮成都大悦城,成都-武侯区,0.8-1.2万/月,"['3-4年经验', '本科']",国企,150-500人
数据分析师,上海燕龙基再生资源利用有限公司,上海-青浦区,0.6-1万/月,"['1年经验', '本科']",民营公司,150-500人
MK-Coordinator数据分析实习生（零售行业）,MICHAEL KORS,天津,3-5千/月,"['在校生/应届生', '大专']",外资（欧美）,500-1000人
高级数据分析师(J11656),叮咚买菜,杭州,2-3万/月,"['8-9年经验', '本科']",民营公司,10000人以上
商业数据分析师,悠易互通（北京）广告有限公司,上海-静安区,2-2.5万/月,"['5-7年经验', '本科']",民营公司,150-500人
数据分析师,北京慧智康健医药科技有限公司,异地招聘,4-8千/月,"['无需经验', '本科']",民营公司,少于50人
数据分析师,陕西君汇商业管理服务有限责任公司,西安-雁塔区,0.6-1万/月,"['2年经验', '本科']",民营公司,150-500人
数据分析实习生,深圳深蓝保科技有限公司,深圳-南山区,4-6千/月,"['在校生/应届生', '本科']",民营公司,50-150人
大数据分析工程师,广州安婕妤生物科技有限公司,广州,10-15万/年,"['2年经验', '本科']",外资（非欧美）,150-500人
会员数据分析（零售）,劲霸男装（上海）有限公司,广州,5-7千/月,"['2年经验', '大专']",民营公司,10000人以上
数据分析师,任子行网络技术股份有限公司,深圳,1-1.5万/月,"['3-4年经验', '本科']",上市公司,1000-5000人
商品数据分析主管,广州迪柯尼服饰股份有限公司,广州-天河区,0.8-1.2万/月,"['3-4年经验', '大专']",民营公司,500-1000人
数据分析专员,四川天药医药集团有限公司,成都-高新区,4-6千/月,"['3-4年经验', '大专']",民营公司,50-150人
大数据分析师,沈阳天利合科技有限公司,沈阳-浑南区,0.6-1.2万/月,"['3-4年经验', '大专']",民营公司,少于50人
数据分析师（诚聘）,深圳麦亚信科技股份有限公司,深圳-南山区,1.2-1.9万/月,"['3-4年经验', '大专']",上市公司,150-500人
培训质检专员（对内数据分析）,广州青木电子商务有限公司桂林分公司,桂林,3-4.5千/月,"['无需经验', '大专']",民营公司,1000-5000人
数据分析经理,厦门欣维发电子商务有限公司,厦门-思明区,1-1.5万/月,"['3-4年经验', '本科']",民营公司,150-500人
数据分析师,深圳市鼎驰科技发展有限公司,深圳-福田区,1.2-1.5万/月,"['3-4年经验', '本科']",民营公司,150-500人
金融数据分析师（周末双休）,广州科曼达数据科技有限公司,广州-天河区,6-8千/月,"['1年经验', '中专']",民营公司,
商业数据分析师,上海米尔圣传感器有限公司,上海-浦东新区,1-2万/月,"['1年经验', '本科']",民营公司,50-150人
资深数据分析师 (MJ002732),SHEIN,异地招聘,2-3.5万/月,"['3-4年经验', '本科']",民营公司,5000-10000人
数据分析统计员,湖南一二三零一旅游服务有限公司,长沙-雨花区,5-8千/月,"['2年经验', '本科']",民营公司,少于50人
数据分析师（服装）,佛山时光漫步服饰有限公司,佛山-禅城区,4-8千/月,"['1年经验', '本科']",创业公司,50-150人
数据分析师,天津所托瑞安汽车科技有限公司,异地招聘,2.5-3万/月,"['5-7年经验', '本科']",民营公司,150-500人
数据分析师-建筑工程专业,世源科技工程有限公司,北京-海淀区,0.8-1万/月,"['3-4年经验', '本科']",国企,1000-5000人
电商数据分析,沃程（中国）-凯伊秀化妆品,上海-黄浦区,0.8-1.8万/月,"['1年经验', '本科']",外资（非欧美）,500-1000人
数据分析师,广州微革网络科技有限公司,广州-天河区,1.5-2万/月,"['3-4年经验', '本科']",民营公司,500-1000人
数据分析师（库存管控10-20K）,深圳市众思阁科技有限公司,深圳-龙华区,1-2万/月,"['2年经验', '本科']",民营公司,50-150人
数据分析师-自贡,四川久环环境技术有限责任公司,异地招聘,4.5-6千/月,"['1年经验', '本科']",民营公司,50-150人
资深数据分析师（供应链方向）,周大福珠宝金行（深圳）有限公司,深圳-盐田区,1.2-1.6万/月,"['3-4年经验', '本科']",上市公司,10000人以上
电商运营大数据分析师,广州市倍乐食品有限公司,广州-从化区,0.5-1万/月,"['1年经验', '大专']",民营公司,50-150人
商品数据分析,上海迭森品牌管理有限公司,上海-闵行区,0.6-1万/月,"['2年经验', '大专']",外资（非欧美）,少于50人
数据分析专员,广东嘉宝华医药集团股份有限公司,珠海,4.5-6千/月,"['2年经验', '本科']",民营公司,500-1000人
采购主管兼数据分析,上海家有好面餐饮管理有限公司,上海-长宁区,0.8-1万/月,"['3-4年经验', '大专']",民营公司,1000-5000人
数据分析师（管培生）,南极电商（上海）有限公司,上海-杨浦区,0.8-1.1万/月,"['1年经验', '本科']",上市公司,500-1000人
数据分析专员,上海依蕴宠物用品有限公司,上海-闵行区,5-8千/月,"['2年经验', '大专']",民营公司,150-500人
数据分析师（商业分析方向）,宁波萌元素电器科技有限公司,异地招聘,1-1.5万/月,"['无需经验', '本科']",民营公司,50-150人
数据分析师,靖心健康管理顾问（广州）有限公司,广州-天河区,1-3万/月,"['1年经验', '本科']",民营公司,50-150人
数据分析师,杭州蛋蛋语音科技有限公司,杭州-滨江区,1.5-2.5万/月,"['3-4年经验', '本科']",民营公司,50-150人
数据分析师,广州瓷妆化妆品有限公司,广州-番禺区,0.7-1万/月,"['1年经验', '大专']",民营公司,1000-5000人
商品数据分析,上海宽候餐饮管理有限公司,上海-浦东新区,0.8-1万/月,"['2年经验', '大专']",民营公司,50-150人
商品推进主管（数据分析）,有家实业有限公司,武汉,,"['3-4年经验', '大专']",政府机关,
数据分析师,上海吉电电子技术有限公司,上海,6-8千/月,"['2年经验', '大专']",民营公司,150-500人
初级数据分析师,宁波望舒心电器科技有限公司,异地招聘,0.9-1.2万/月,"['无需经验', '本科']",民营公司,150-500人
应届/实习-数据分析师助理,宁波萌牙家科技有限公司,异地招聘,0.8-1.2万/月,"['无需经验', '本科']",民营公司,150-500人
数据分析工程师,南京江北新区大数据管理中心,南京,,['本科'],民营公司,
数据分析工程师,南京地正信息技术有限公司,南京,,['本科'],民营公司,
1733CO-数据分析岗,平安普惠企业管理有限公司湖北分公司,武汉,,"['1年经验', '本科']",政府机关,
金融数据分析,广州瀚信信息咨询服务有限公司,广州-天河区,0.6-1万/月,"['1年经验', '本科']",民营公司,50-150人
临床数据分析员,杭州联川生物技术股份有限公司,杭州,1-1.5万/月,"['3-4年经验', '硕士']",民营公司,
数据分析师,广东省农村信用社联合社,广州,,['硕士'],国企,
数据分析师2021届,通联数据股份公司,南京,,['本科'],民营公司,
人力资源数据分析专员,湖北盛天网络技术股份有限公司,武汉,7-9千/月,"['2年经验', '本科']",上市公司,500-1000人
数据分析师,广东诚安信会计师事务所有限公司,广州-天河区,4-6千/月,"['1年经验', '本科']",民营公司,150-500人
数据分析师,北京千喜鹤餐饮管理有限公司,北京,1-1.5万/月,['本科'],民营公司,
数据分析师,丹阳万新眼镜销售有限公司,丹阳,3.5-4.5千/月,"['2年经验', '大专']",民营公司,50-150人
数据分析工程师/信息工程师,西安西电高压开关有限责任公司,西安,,"['在校生/应届生', '本科']",国企,
数据分析员,利尔化学股有限公司,绵阳,,['本科'],民营公司,
数据分析管培生,雨润控股集团有限公司,南京,,['硕士'],民营公司,
环境专业—储备数据分析工程师,无锡中科光电技术有限公司,盐城-亭湖区,6-8千/月,"['1年经验', '本科']",民营公司,150-500人
技术研究类-大数据分析与处理(A1-1),南京信息技术研究院,南京,,['硕士'],事业单位,
助理研究员-014KY2007-大数据分析研究,南方海洋科学与工程广东省实验室（湛江）,湛江,2-2.5万/月,['硕士'],事业单位,
数据分析,浙江森马电子商务有限公司,浙江省,0.8-1万/月,['本科'],民营公司,
大数据分析岗,中移铁通信息和产品开发中心,北京,,['本科'],外资（非欧美）,
数据分析师,北京中海华晟信息技术有限公司西安分公司,异地招聘,5-8千/月,"['1年经验', '本科']",民营公司,50-150人
数据分析师,镇江锐一国际贸易有限公司,镇江,4-8千/月,"['无需经验', '本科']",创业公司,少于50人
大数据分析助理｜百联股份,百联集团有限公司,上海,,['本科'],国企,
消费者产品研究（数据分析方向）,安利（中国）日用品有限公司,上海,,['硕士'],外资（欧美）,
数据分析岗（深圳）,中证信用增进股份有限公司,深圳,,['硕士'],国企,
数据分析专员,东亚数据信息服务（广东）有限公司,广州,5-7千/月,"['无需经验', '中专']",外资（非欧美）,500-1000人
数据分析师,武汉市常青化工有限责任公司,武汉,,"['1年经验', '本科']",政府机关,
销售数据分析（5k-7k近地铁）,深圳威罗帕服饰有限公司,深圳,6-8千/月,"['在校生/应届生', '大专']",民营公司,
数据分析师,安徽易健信息技术有限公司,合肥-经开区,1-1.5万/月,"['1年经验', '本科']",民营公司,少于50人
研发工程师-大数据分析,成都运达科技股份有限公司,成都,,['硕士'],上市公司,
数据分析主管,麦瑞克（杭州）健康科技有限公司,杭州-滨江区,1-2万/月,"['2年经验', '大专']",民营公司,50-150人
数据分析管培生,四川天味食品集团股份有限公司,成都,6-8千/月,['本科'],上市公司,
物流数据分析师（EIQ）,湖北九州通达科技开发有限公司,武汉,,['本科'],政府机关,
数据分析师,北京中电普华信息技术有限公司,北京,,['硕士'],国企,
数据分析师,国网信通亿力科技有限责任公司,北京,,['硕士'],国企,
数据分析师,北京国电通网络技术有限公司,北京,,['硕士'],国企,
财金数据分析师,北京国网信通埃森哲信息技术有限公司,北京,,['硕士'],国企,
数据分析类,深圳市深粮控股股份有限公司,深圳,,"['无需经验', '硕士']",国企,
大数据分析岗,中移铁通上海分公司,上海,,['本科'],外资（非欧美）,
数据分析师（上海）,天翼电子商务有限公司上海分公司,上海,,['本科'],国企,
工业数据分析师,中冶赛迪重庆信息技术有限公司,重庆,,['硕士'],国企,500-1000人
数据分析师,深圳市华智赢启信息科技有限公司,深圳-南山区,0.8-1.2万/月,"['3-4年经验', '大专']",民营公司,少于50人
数据分析师(苏州),普源精电科技股份有限公司,苏州,,['硕士'],民营公司,
